July 1,Sunday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,MADLA,MADLA,,,,BATH ITC,BATH ITC,MADLA,MADLA,,,,
2,BATH ITC,BATH ITC,MADLA,MADLA,,,,BATH ITC,BATH ITC,MADLA,MADLA,,,,
3,BATH ITC,BATH ITC,MADLA,MADLA,,,,BATH ITC,BATH ITC,MADLA,MADLA,,,,
4,BATH ITC,BATH ITC,MADLA,MADLA,,,,BATH ITC,BATH ITC,MADLA,MADLA,,,,
5,BATH ITC,BATH ITC,MADLA,MADLA,,,,BATH ITC,BATH ITC,MADLA,MADLA,,,,
6,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
7,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
8,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
9,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
10,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
,,,,,,,,,,,,,,,
July 2,Monday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
2,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
3,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
7,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
8,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
9,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
10,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
,,,,,,,,,,,,,,,
July 3,Tuesday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
2,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
3,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
7,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
8,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
9,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
10,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
,,,,,,,,,,,,,,,
July 4,Wednesday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
2,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
3,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
7,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
8,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
9,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
10,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
,,,,,,,,,,,,,,,
July 5,Thursday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
2,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
3,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
7,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
8,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
9,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
10,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
,,,,,,,,,,,,,,,
July 6 ,Friday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,
2,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,
3,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,
4,LEANDER,LEANDER,MADLA,MADLA,CARDIFF,CARDIFF,,LEANDER,LEANDER,MADLA,MADLA,CARDIFF,CARDIFF,,
5,LEANDER,LEANDER,MADLA,MADLA,CARDIFF,CARDIFF,,LEANDER,LEANDER,MADLA,MADLA,CARDIFF,CARDIFF,,
6,RONSE,RONSE,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,RONSE,RONSE,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
7,RONSE,RONSE,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,RONSE,RONSE,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,Ronse need extra lane
8,RONSE,RONSE,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,RONSE,RONSE,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
9,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
10,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
,,,,,,,,,,,,,,,
July 7,Saturday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,Leander need lanes 
2,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,Ronse need lanes
3,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,
7,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,
8,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,MADLA,MADLA,CARDIFF,CARDIFF,,
9,KARMOY,KARMOY,MADLA,MADLA,CARDIFF,CARDIFF,,KARMOY,KARMOY,MADLA,MADLA,CARDIFF,CARDIFF,,
10,KARMOY,KARMOY,MADLA,MADLA,CARDIFF,CARDIFF,,KARMOY,KARMOY,MADLA,MADLA,CARDIFF,CARDIFF,,
,,,,,,,,,,,,,,,
July 8,Sunday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
2,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
3,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,MADLA,MADLA,MILLFIELD,MILLFIELD,,SKJETTEN,SKJETTEN,MADLA,MADLA,MILLFIELD,MILLFIELD,,
7,SKJETTEN,SKJETTEN,MADLA,MADLA,RONSE,RONSE,,SKJETTEN,SKJETTEN,MADLA,MADLA,RONSE,RONSE,,
8,SKJETTEN,SKJETTEN,MADLA,MADLA,RONSE,RONSE,,SKJETTEN,SKJETTEN,MADLA,MADLA,RONSE,RONSE,,
9,LEANDER,LEANDER,MADLA,MADLA,RONSE,RONSE,,LEANDER,LEANDER,MADLA,MADLA,RONSE,RONSE,,
10,LEANDER,LEANDER,MADLA,MADLA,RONSE,RONSE,,LEANDER,LEANDER,MADLA,MADLA,RONSE,RONSE,,
,,,,,,,,,,,,,,,
July 9,Monday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
2,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
3,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,LAMBERTSETTER,LAMBERTSETTER,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,MADLA,MADLA,MILLFIELD,MILLFIELD,,SKJETTEN,SKJETTEN,MADLA,MADLA,MILLFIELD,MILLFIELD,,
7,SKJETTEN,SKJETTEN,MADLA,MADLA,RONSE,RONSE,,SKJETTEN,SKJETTEN,MADLA,MADLA,RONSE,RONSE,,
8,SKJETTEN,SKJETTEN,MADLA,MADLA,RONSE,RONSE,,SKJETTEN,SKJETTEN,MADLA,MADLA,RONSE,RONSE,,
9,LEANDER,LEANDER,MADLA,MADLA,RONSE,RONSE,,LEANDER,LEANDER,MADLA,MADLA,RONSE,RONSE,,
10,LEANDER,LEANDER,MADLA,MADLA,RONSE,RONSE,,LEANDER,LEANDER,MADLA,MADLA,RONSE,RONSE,,
,,,,,,,,,,,,,,,
July 10,Tuesday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
2,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
3,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,LEANDER,LEANDER,MILLFIELD,MILLFIELD,,SKJETTEN,SKJETTEN,LEANDER,LEANDER,MILLFIELD,MILLFIELD,,
